Feature,Ridge_R2,Ridge_Std,RF_R2,RF_Std,Best_R2
ANIM,-0.04105770267507882,0.0304040567766351,-0.075511455442141,0.07597723077356178,-0.04105770267507882
SIZE,-0.07277875837381591,0.06568848747103735,-0.04396696785281504,0.019024368264250305,-0.04396696785281504
GEND,-0.046874954631254837,0.027385213825096507,-0.0486376637975177,0.03066101066748087,-0.046874954631254837
AROU,-0.047537758355057844,0.02110610126150015,-0.04728012652598128,0.024997136002370073,-0.04728012652598128
IMAG,-0.09911418940719785,0.04956278321648166,-0.06004956652543756,0.02946740179990032,-0.06004956652543756
CNC,-0.061117071723490166,0.028739413435937736,-0.06562297072879705,0.02679932025750283,-0.061117071723490166
FAM,-0.11410456370058371,0.0694061264527468,-0.0646078109598099,0.04545175865017462,-0.0646078109598099
DOM,-0.0683040228708796,0.05919194160399435,-0.0664853482711231,0.054342362791114325,-0.0664853482711231
VAL,-0.10493795497496575,0.08711133092831286,-0.06690180608442105,0.038464197670754735,-0.06690180608442105
MANI,-0.21774043174733318,0.12789497216857476,-0.08700607629467809,0.05680704777933475,-0.08700607629467809
