,IMAG,CNC,ANIM,FAM,VAL,AROU,DOM,SIZE,GEND,MANI
Dim 0,-1.9714999664723831,-1.9715280227078211,-1.9518600131536192,-1.9892632376220214,-1.977744834761581,-1.9575066728395754,-1.9618516142257043,-1.960991612095253,-1.9544780794922836,-1.9662645324805808
Dim 1,-0.24624494398101054,-0.24345480026764799,-0.24011875557613244,-0.23891060725440613,-0.23896795720207537,-0.2351863533059221,-0.23544913119925376,-0.24648512432104125,-0.23834841632938444,-0.24476354482408164
Dim 2,-0.07309350380399175,-0.0724921660182091,-0.06754481570283546,-0.06639884628557953,-0.06971562495689451,-0.06554049023801634,-0.06936417974342776,-0.07168247658789077,-0.06788975593054425,-0.07049879508909088
Dim 3,-0.2895917504605391,-0.28850593724571716,-0.2920400577114423,-0.3012200064998181,-0.2948105416131304,-0.28866873835510315,-0.2936698183995706,-0.2977030745363811,-0.29121305832881095,-0.2918971793842252
Dim 4,-0.2888139168603756,-0.2929085749557545,-0.28582397815141003,-0.28021933509572483,-0.28772866587304724,-0.2791542558012494,-0.2864349199034,-0.28415609930231556,-0.28740077146197895,-0.29043799469425957
Dim 5,-1.3652235834766153,-1.3752916904148633,-1.3595036397075155,-1.3766586171861146,-1.3792509757396902,-1.3564234730119897,-1.3655109763434947,-1.3653083724054214,-1.363952352888416,-1.3691162444348675
Dim 6,-0.12947812198301242,-0.12983286757704482,-0.1302762227968463,-0.13121303804761544,-0.12857729807098442,-0.1289788527886794,-0.13118838398083943,-0.12902692494488793,-0.12938579087862587,-0.1366027472911524
Dim 7,-0.08217459253999478,-0.08062979965665788,-0.07633732862405626,-0.0794279307759342,-0.0780161266763292,-0.07653042033795114,-0.07819135858489874,-0.08043734815317509,-0.08563775799273148,-0.08008237667899717
Dim 8,-0.0757229742762425,-0.07533867792372125,-0.07457618449300067,-0.07006791787519902,-0.07411182476104723,-0.07303244107709501,-0.07587184032527135,-0.07706057446193744,-0.0816808895001417,-0.07765217405108604
Dim 9,-0.2665868134040912,-0.27016189132161567,-0.2682219937902308,-0.2691281919136998,-0.26915788636416016,-0.2684941540005875,-0.2680758079592621,-0.26974774430971216,-0.272850488576697,-0.2754893790655157
Dim 10,-0.15883993123032022,-0.15691576074940033,-0.15766473048219326,-0.1570196070496503,-0.15515216180076133,-0.15704369295515402,-0.15649886999678125,-0.1565455409118571,-0.15569164351936832,-0.15735957444253224
Dim 11,-0.19337678916619608,-0.1900550090789272,-0.18888674541138611,-0.2004812363880572,-0.18979036309841613,-0.19166159135867422,-0.18913691920365117,-0.1967486871892976,-0.18599936979653736,-0.1926771744553763
Dim 12,-0.2668709072777751,-0.2629567028932991,-0.2560861302506404,-0.2625054857267335,-0.26371231495610503,-0.2540967832082075,-0.2637634038621294,-0.2555165137823572,-0.25786417720524,-0.26667603306620635
Dim 13,-0.2657489869622917,-0.26744531488660345,-0.25403175992546584,-0.2690337046378851,-0.2789685199047714,-0.26172889547568756,-0.26486813913928264,-0.25464270067651995,-0.26390005923105603,-0.2647557015544724
Dim 14,-0.015557273237227864,-0.016409729834445486,-0.015739494389775066,-0.008340764284087499,-0.010994031836325524,-0.007845838218073675,-0.008656203147269226,-0.01454948274613419,-0.014208826681306918,-0.015546643388506708
